epoch,train_loss,train_error,train_acc,train_soft_ratio,train_score_mean,train_topk_mean,train_score_std,val_loss,val_error,val_acc,val_soft_ratio,val_score_mean,val_topk_mean,val_score_std,test_loss,test_error,test_acc,test_soft_ratio,test_score_mean,test_topk_mean,test_score_std
1,0.3962286738823175,0.4849699398797595,0.5150300601202404,0.5002152178593293,0.5008611189040966,0.5220828097246453,0.011838363573250953,0.34870042164274073,0.4405594405594406,0.5594405594405594,0.49725117029009996,0.4890043756344935,0.4956529080034136,0.0036180932695531265,,,,,,,
2,0.33662818307177855,0.405811623246493,0.594188376753507,0.5002263612701802,0.5009054476488568,0.5056841586359995,0.002540024800260154,0.2546527887893049,0.32167832167832167,0.6783216783216783,0.500318539100927,0.5012741751604147,0.5032652364327357,0.0013339367602142615,,,,,,,
3,0.3189341000605889,0.37975951903807614,0.6202404809619239,0.5002238950832095,0.5008955906053822,0.504160697629791,0.0017728676805659972,0.2508813778603345,0.2937062937062937,0.7062937062937062,0.5002615722742948,0.5010463091043326,0.5025073669173501,0.0008573010841659693,,,,,,,
4,0.30308909869735157,0.3627254509018036,0.6372745490981964,0.5002206530504093,0.5008826264458334,0.5033737160638722,0.0013763636736388698,0.2609598306225708,0.3146853146853147,0.6853146853146853,0.4997910177791035,0.4991640825788458,0.5008928838309709,0.0010451377982882639,,,,,,,
5,0.2966116724647105,0.3687374749498998,0.6312625250501003,0.5001544695877599,0.5006178882353769,0.50257829682741,0.0010857663475985328,0.2692331318887253,0.3706293706293706,0.6293706293706294,0.5003192130919103,0.5012768832120028,0.5022240672911797,0.0005545829159921601,,,,,,,
6,0.29812931524815395,0.3587174348697395,0.6412825651302605,0.500208427438994,0.5008337245675509,0.5022895140554718,0.0008415644876434951,0.2570868464615662,0.34265734265734266,0.6573426573426573,0.4996844386304175,0.49873776348320753,0.4997252321743465,0.0007470920580191785,,,,,,,
7,0.2933737971636697,0.3496993987975952,0.6503006012024048,0.5001050854075648,0.5004203608016929,0.5016001518778428,0.0006747589060818106,0.2953607728222969,0.3356643356643357,0.6643356643356644,0.5001577910009798,0.5006311998500691,0.5012102114570725,0.0003054430757134736,,,,,,,
8,0.2653466638577359,0.30561122244488975,0.6943887775551103,0.5000541089233272,0.5002164480561961,0.5006307023082802,0.0002085087810469386,0.26206836883510687,0.3146853146853147,0.6853146853146853,0.5000277465873665,0.5001109871830973,0.5002695059442853,8.525105768948398e-05,,,,,,,
9,0.2749541106476771,0.3066132264529058,0.6933867735470942,0.5000245906487256,0.5000983729868949,0.5003236063675794,0.0001213982539116251,0.2890478737571249,0.38461538461538464,0.6153846153846154,0.5001218860799616,0.5004875772482865,0.500654098870871,9.701921989158014e-05,,,,,,,
10,0.26693584977407203,0.3016032064128257,0.6983967935871743,0.4999884931979055,0.49995398192940826,0.500069498956084,6.733037335601237e-05,0.2918027965560805,0.32867132867132864,0.6713286713286714,0.4999638514502065,0.49985543289384643,0.499899984656514,3.732265083106706e-05,,,,,,,
11,0.2536177714958691,0.2745490981963928,0.7254509018036073,0.5000020169423434,0.5000080690235795,0.5000437610373946,2.735212212547915e-05,0.29468445945266547,0.3006993006993007,0.6993006993006994,0.5000240377612881,0.5000961381238658,0.5001071478937056,5.274359104383315e-06,,,,,,,
test,,,,,,,,,,,,,,,0.26303175665765466,0.3543859649122807,0.6456140350877193,0.5002510112628602,0.5010040564495221,0.502531685745507,0.0008920478835199518
