case_id,class,global_min,global_max,global_mean,global_std,global_median,nonzero_frac,bg_frac,p1,p5,p25,p75,p95,p99,edge_mean,edge_std,mid_slice_mean,mid_slice_std,unique_val_count
CT074165,2,-1023.0,3323.0,-977.2185668945312,88.80115509033203,-1000.0,1.0,0.0,-1013.0,-1000.0,-1000.0,-1000.0,-860.0,-620.0,-1000.0,0.0,-959.0194702148438,129.7754364013672,2574
CT075120,2,-1023.0,1879.0,-976.4892578125,92.98678588867188,-1000.0,1.0,0.0,-1014.0,-1000.0,-1000.0,-1000.0,-851.0,-584.0,-1000.0,0.0,-962.1746215820312,115.50309753417969,2148
CT025355,2,-1459.0,1887.0,-982.8200073242188,77.45277404785156,-1000.0,1.0,0.0,-1043.0,-1000.0,-1000.0,-1000.0,-877.0,-663.0,-1000.0,0.0,-976.9561767578125,86.68502807617188,2451
CT057438,2,-1424.0,2123.0,-978.1829833984375,89.16939544677734,-1000.0,1.0,0.0,-1019.0,-1000.0,-1000.0,-1000.0,-847.0,-573.0,-1000.0,0.0,-964.227294921875,112.25838470458984,2531
CT042329,2,-1510.0,1473.0,-986.9454345703125,69.55516815185547,-1000.0,1.0,0.0,-1018.0,-1000.0,-1000.0,-1000.0,-910.0,-685.0,-1000.0,0.0,-972.9583740234375,103.0181884765625,2043
CT033281,2,-1456.0,2072.0,-976.2327880859375,103.9146499633789,-1000.0,1.0,0.0,-1002.0,-1000.0,-1000.0,-1000.0,-839.0,-443.0,-1000.0,0.0,-961.4617919921875,131.91885375976562,2510
CT058248,3,-1560.0,2399.0,-972.2839965820312,111.21527099609375,-1000.0,1.0,0.0,-1000.0,-1000.0,-1000.0,-1000.0,-787.0,-413.0,-1000.0,0.0,-957.0859375,132.80123901367188,2445
CT036721,3,-1450.0,2436.0,-970.7628173828125,108.98989868164062,-1000.0,1.0,0.0,-1001.0,-1000.0,-1000.0,-1000.0,-803.0,-451.0,-1000.0,0.0,-958.4706420898438,121.04300689697266,2875
CT076625,3,-1023.0,2722.0,-975.34228515625,101.65755462646484,-1000.0,1.0,0.0,-1000.0,-1000.0,-1000.0,-1000.0,-816.0,-482.0,-1000.0,0.0,-950.785888671875,147.89553833007812,2316
CT063350,3,-1459.0,2047.0,-977.8937377929688,106.74684143066406,-1000.0,1.0,0.0,-1045.0,-1000.0,-1000.0,-1000.0,-862.0,-417.0,-1000.0,0.0,-958.8628540039062,142.74356079101562,2506
CT040982,3,-1438.0,1943.0,-980.308349609375,87.52323150634766,-1000.0,1.0,0.0,-1000.0,-1000.0,-1000.0,-1000.0,-858.0,-573.0,-1000.0,0.0,-966.1316528320312,120.45475006103516,2370
CT037873,3,-1494.0,1602.0,-970.829345703125,107.41222381591797,-1000.0,1.0,0.0,-1000.0,-1000.0,-1000.0,-1000.0,-807.0,-448.0,-1000.0,0.0,-965.374267578125,110.64472198486328,2260
CT044661,3,-1515.0,1830.0,-979.9493408203125,88.39754486083984,-1000.0,1.0,0.0,-1012.0,-1000.0,-1000.0,-1000.0,-860.0,-581.0,-1000.0,0.0,-968.5472412109375,108.58427429199219,2441
CT047397,3,-1550.0,1768.0,-983.8750610351562,94.80352783203125,-1000.0,1.0,0.0,-1091.0,-1000.0,-1000.0,-1000.0,-895.0,-526.0,-1000.0,0.0,-977.1771240234375,117.8853530883789,2656
CT069115,3,-1464.0,2718.0,-982.4154052734375,82.3545913696289,-1000.0,1.0,0.0,-1010.0,-1000.0,-1000.0,-1000.0,-874.0,-622.0,-1000.0,0.0,-971.2786254882812,102.86690521240234,2285
CT040059,3,-1507.0,1943.0,-975.3448486328125,116.34314727783203,-1000.0,1.0,0.0,-1000.0,-1000.0,-1000.0,-1000.0,-832.0,-338.0,-1000.0,0.0,-944.480712890625,170.4984130859375,2439
