split,true_class,n,mean,std,min,q1,median,q3,max
val,1,37,0.3772709840858305,0.35323006932355777,0.11488708853721619,0.11729421466588974,0.12425902485847473,0.8360631465911865,0.9705008864402771
val,2,39,0.4974691615654872,0.36089306633755214,0.11583275347948074,0.11765343323349953,0.5917545557022095,0.8623768389225006,0.9699109792709351
test,1,74,0.38864310075705116,0.3384361526042889,0.11499091237783432,0.11759534478187561,0.13571719825267792,0.7368986159563065,0.9711076021194458
test,2,78,0.5072862543165684,0.3773096803129393,0.11389614641666412,0.11934539675712585,0.4186372458934784,0.9180664569139481,0.970828115940094
