feature,group_by,label,mean,std,n
burden_soft_ratio,true_label,0,0.4341821965418364,9.57592710302706e-05,95
burden_soft_ratio,true_label,1,0.515417193507289,0.003104921395801134,111
burden_soft_ratio,true_label,2,0.5154402154123682,0.0044596187163049444,117
burden_soft_ratio,true_label,3,0.5193405071894328,0.004888593077297483,105
burden_soft_ratio,pred_label_default,0,0.4341821965418364,9.57592710302706e-05,95
burden_soft_ratio,pred_label_default,1,0.5147913616636525,0.002580441117212309,138
burden_soft_ratio,pred_label_default,2,0.5161315904599484,0.003639350061447455,107
burden_soft_ratio,pred_label_default,3,0.5202418050982736,0.005867365106633471,88
burden_score_mean,true_label,0,0.2351919694950706,0.0003897673723366389,95
burden_score_mean,true_label,1,0.5624987273602873,0.012570315480083952,111
burden_score_mean,true_label,2,0.5625888552421179,0.017993335034968486,117
burden_score_mean,true_label,3,0.5782836630230859,0.01971420046074776,105
burden_score_mean,pred_label_default,0,0.2351919694950706,0.0003897673723366389,95
burden_score_mean,pred_label_default,1,0.5599747477234274,0.010441905215270842,138
burden_score_mean,pred_label_default,2,0.5653888065124226,0.014724443035522781,107
burden_score_mean,pred_label_default,3,0.5818968401713804,0.023659393272552794,88
burden_topk_mean,true_label,0,0.23796281579293702,0.0009572536802632916,95
burden_topk_mean,true_label,1,0.931635199366389,0.02113593471462249,111
burden_topk_mean,true_label,2,0.9317770274276407,0.022496261499848156,117
burden_topk_mean,true_label,3,0.9384742827642532,0.020672024889774453,105
burden_topk_mean,pred_label_default,0,0.23796281579293702,0.0009572536802632916,95
burden_topk_mean,pred_label_default,1,0.9306853893010513,0.01707117785383694,138
burden_topk_mean,pred_label_default,2,0.9343788902336192,0.02587931539280646,107
burden_topk_mean,pred_label_default,3,0.9381374323909933,0.02186023073201959,88
burden_score_std,true_label,0,0.0014816924892856102,0.00037211675249772497,95
burden_score_std,true_label,1,0.14294185945848087,0.01173865307894954,111
burden_score_std,true_label,2,0.14243346121576098,0.011044672913888547,117
burden_score_std,true_label,3,0.14650137587672188,0.01133141441993499,105
burden_score_std,pred_label_default,0,0.0014816924892856102,0.00037211675249772497,95
burden_score_std,pred_label_default,1,0.1422340510332066,0.009948874448297108,138
burden_score_std,pred_label_default,2,0.14460223571997938,0.013148752913900073,107
burden_score_std,pred_label_default,3,0.14560417687012392,0.011313694340789169,88
coverage_z_center,true_label,0,0.4831965342948311,0.03848244303698617,95
coverage_z_center,true_label,1,0.5072545033317428,0.008181030951349757,111
coverage_z_center,true_label,2,0.5068609561675634,0.006956791649303749,117
coverage_z_center,true_label,3,0.5106553409780775,0.0096327375700293,105
coverage_z_center,pred_label_default,0,0.4831965342948311,0.03848244303698617,95
coverage_z_center,pred_label_default,1,0.5074131858089695,0.007433296746228883,138
coverage_z_center,pred_label_default,2,0.5069815229589694,0.008003594464145702,107
coverage_z_center,pred_label_default,3,0.5108721584758975,0.009784430428218666,88
coverage_z_spread,true_label,0,0.31809071647493464,0.016091707039936523,95
coverage_z_spread,true_label,1,0.305775669512448,0.0021244881775217303,111
coverage_z_spread,true_label,2,0.30601198678342706,0.0019092969685147374,117
coverage_z_spread,true_label,3,0.30581664443016054,0.0021695351443852097,105
coverage_z_spread,pred_label_default,0,0.31809071647493464,0.016091707039936523,95
coverage_z_spread,pred_label_default,1,0.30579559526581696,0.001947807429180685,138
coverage_z_spread,pred_label_default,2,0.3060884291880599,0.002115729145655834,107
coverage_z_spread,pred_label_default,3,0.3057272200557319,0.0021720871739275244,88
coverage_active_bins_soft,true_label,0,0.4334295558302026,0.007391905886371484,95
coverage_active_bins_soft,true_label,1,0.5143992664577725,0.002808155024717777,111
coverage_active_bins_soft,true_label,2,0.5144638801232363,0.004177932428677595,117
coverage_active_bins_soft,true_label,3,0.5180245047523862,0.004586895371989424,105
coverage_active_bins_soft,pred_label_default,0,0.4334295558302026,0.007391905886371484,95
coverage_active_bins_soft,pred_label_default,1,0.5137949292210565,0.002319086682701376,138
coverage_active_bins_soft,pred_label_default,2,0.5150591608519867,0.003298809255830188,107
coverage_active_bins_soft,pred_label_default,3,0.5189560807564042,0.0055147613074104235,88
coverage_instance_score_mean,true_label,0,0.2351919694950706,0.0003897673723366389,95
coverage_instance_score_mean,true_label,1,0.5624987273602873,0.012570315480083952,111
coverage_instance_score_mean,true_label,2,0.5625888552421179,0.017993335034968486,117
coverage_instance_score_mean,true_label,3,0.5782836630230859,0.01971420046074776,105
coverage_instance_score_mean,pred_label_default,0,0.2351919694950706,0.0003897673723366389,95
coverage_instance_score_mean,pred_label_default,1,0.5599747477234274,0.010441905215270842,138
coverage_instance_score_mean,pred_label_default,2,0.5653888065124226,0.014724443035522781,107
coverage_instance_score_mean,pred_label_default,3,0.5818968401713804,0.023659393272552794,88
