split,label,support,precision,recall,f1
val,0,32,1.0,1.0,1.0
val,1,37,0.5434782608695652,0.6756756756756757,0.6024096385542168
val,2,39,0.5277777777777778,0.48717948717948717,0.5066666666666667
val,3,35,0.8620689655172413,0.7142857142857143,0.7812500000000001
test,0,63,1.0,1.0,1.0
test,1,74,0.532608695652174,0.6621621621621622,0.5903614457831325
test,2,78,0.4225352112676056,0.38461538461538464,0.40268456375838924
test,3,70,0.8305084745762712,0.7,0.7596899224806201
