split,split_method,count,percentage
all,midline_fallback,209,0.4883177570093458
all,cc3d,188,0.4392523364485981
all,morph_cc3d,31,0.07242990654205607
val,midline_fallback,76,0.5314685314685315
val,cc3d,59,0.4125874125874126
val,morph_cc3d,8,0.055944055944055944
test,midline_fallback,133,0.4666666666666667
test,cc3d,129,0.45263157894736844
test,morph_cc3d,23,0.08070175438596491
