split,threshold,binary_target,pos,neg,auc,balanced_accuracy_at_0.5,sensitivity,specificity,f1
val,0,y>0,111,32,1.0,1.0,1.0,1.0,1.0
val,1,y>1,74,69,0.8495887191539365,0.7711515863689777,0.7162162162162162,0.8260869565217391,0.762589928057554
val,2,y>2,35,108,0.9465608465608466,0.8386243386243386,0.7142857142857143,0.9629629629629629,0.7812500000000001
test,0,y>0,222,63,1.0,1.0,1.0,1.0,1.0
test,1,y>1,148,137,0.8702406786348392,0.763488853817321,0.7094594594594594,0.8175182481751825,0.7553956834532374
test,2,y>2,70,215,0.9472425249169435,0.8267441860465117,0.7,0.9534883720930233,0.7596899224806201
