feature,target,pearson,spearman
burden_soft_ratio,true_label,0.7782092694055842,0.6956942269324926
burden_soft_ratio,pred_label_default,0.7643988197876488,0.7426689094920236
burden_soft_ratio,abs_error_default,0.3424729251672809,0.22781091723175811
burden_score_mean,true_label,0.7781582580664466,0.6949824785080996
burden_score_mean,pred_label_default,0.7643270462584557,0.741862787737597
burden_score_mean,abs_error_default,0.3425752560608082,0.22813949965815347
burden_topk_mean,true_label,0.7610900442115236,0.6098725509170713
burden_topk_mean,pred_label_default,0.737125353554893,0.638440499139422
burden_topk_mean,abs_error_default,0.3528479181760008,0.2919675801878217
burden_score_std,true_label,0.759992600377323,0.5921504896486327
burden_score_std,pred_label_default,0.73598572588615,0.5975317035643118
burden_score_std,abs_error_default,0.35930691279636245,0.31068337081863495
coverage_z_center,true_label,0.38968180291805266,0.41295564500129595
coverage_z_center,pred_label_default,0.3773627677078273,0.40598631011043523
coverage_z_center,abs_error_default,0.1450416299012962,0.1138281284413912
coverage_z_spread,true_label,-0.4121367079001754,-0.36713486310203325
coverage_z_spread,pred_label_default,-0.4002340645342874,-0.3750636699394242
coverage_z_spread,abs_error_default,-0.17944081046776428,-0.13519372861656043
coverage_active_bins_soft,true_label,0.7730548343960636,0.6940828284996666
coverage_active_bins_soft,pred_label_default,0.759358467203081,0.7464980869551315
coverage_active_bins_soft,abs_error_default,0.3414214325040692,0.22867731733078214
coverage_instance_score_mean,true_label,0.7781582580664466,0.6949824785080996
coverage_instance_score_mean,pred_label_default,0.7643270462584557,0.741862787737597
coverage_instance_score_mean,abs_error_default,0.3425752560608082,0.22813949965815347
