split,auc_true1_vs_true2_on_p_y_gt_1,best_threshold,best_balanced_accuracy,class2_recall_at_best,class1_recall_at_best,class2_tp,class2_fn,class1_tn,class1_fp
val,0.5433125433125433,0.367469,0.6070686070686071,0.5384615384615384,0.6756756756756757,21,18,25,12
test,0.6003118503118503,0.91337,0.6068953568953569,0.2948717948717949,0.918918918918919,23,55,68,6
