split,n,mean,std,min,q1,median,q3,max,count_between_0.45_0.55,count_below_0.3,count_below_0.2
val,19,0.13913547522143313,0.07230406348789278,0.11583275347948074,0.1162363737821579,0.11764772236347198,0.11883166432380676,0.4322879910469055,0,18,17
test,41,0.1607031704085629,0.0980795548113174,0.11389614641666412,0.11739161610603333,0.1197357028722763,0.1275545060634613,0.4996272027492523,1,36,35
