split,prediction,n_cases,accuracy,balanced_accuracy,macro_f1,class1_recall,class2_recall,true1_to_pred2_count,true1_to_pred2_ratio,true2_to_pred1_count,true2_to_pred1_ratio,split_method
train,default,448,0.6763392857142857,0.7444886749651278,0.7412903740735699,0.6598639455782312,0.5597014925373134,40,0.272108843537415,51,0.3805970149253731,cc3d
train,default,464,0.7780172413793104,0.7143180641821947,0.7153163152053275,0.7976190476190477,0.5089285714285714,15,0.17857142857142858,50,0.44642857142857145,midline_fallback
train,default,86,0.6046511627906976,0.6950000000000001,0.7030965391621129,0.6,0.5,10,0.3333333333333333,13,0.4642857142857143,morph_cc3d
