split,true_class,n,mean,std,min,q1,median,q3,max
train,1,261,0.3410023070897031,0.322799639769321,5.353978485800326e-05,0.11707930266857147,0.12220449000597,0.6220403909683228,0.9712626934051514
train,2,274,0.5685054020561876,0.358730535720355,0.11375986784696579,0.12438138760626316,0.7503456175327301,0.9028276950120926,0.9709890484809875
