feature,group_by,label,mean,std,n
burden_soft_ratio,true_label,0,0.4341802788051692,0.00010515539464470676,220
burden_soft_ratio,true_label,1,0.5154088107562157,0.0035847746033692294,261
burden_soft_ratio,true_label,2,0.5153337321142211,0.003451306379124105,274
burden_soft_ratio,true_label,3,0.518708658561785,0.004949727797830635,243
burden_soft_ratio,pred_label_default,0,0.4345098384634941,0.004889285496811603,221
burden_soft_ratio,pred_label_default,1,0.5147921829927163,0.0029761771875762453,305
burden_soft_ratio,pred_label_default,2,0.5157398437334743,0.0031589318190395187,277
burden_soft_ratio,pred_label_default,3,0.5199527217791631,0.005315706690061886,195
burden_score_mean,true_label,0,0.23518416346474127,0.0004280051381225604,220
burden_score_mean,true_label,1,0.5624625358545003,0.014478369354724732,261
burden_score_mean,true_label,2,0.5621632983649734,0.013967412242383443,274
burden_score_mean,true_label,3,0.5757032691696544,0.0199538033931974,243
burden_score_mean,pred_label_default,0,0.23650945372441234,0.01966186917398421,221
burden_score_mean,pred_label_default,1,0.5599836539049617,0.012045689691017974,305
burden_score_mean,pred_label_default,2,0.5637920100766399,0.012781308149199646,277
burden_score_mean,pred_label_default,3,0.5807071050008138,0.021433586644860208,195
burden_topk_mean,true_label,0,0.23784879750826143,0.000832759605181728,220
burden_topk_mean,true_label,1,0.9316697152638344,0.026455179235264657,261
burden_topk_mean,true_label,2,0.9317045455431416,0.023862530170370745,274
burden_topk_mean,true_label,3,0.9332367969147953,0.023121261182936125,243
burden_topk_mean,pred_label_default,0,0.23963614401504466,0.02652364998206285,221
burden_topk_mean,pred_label_default,1,0.9309967949742176,0.01937946742683702,305
burden_topk_mean,pred_label_default,2,0.9326270140895775,0.022406114284632673,277
burden_topk_mean,pred_label_default,3,0.9348965388077956,0.025203532760882063,195
burden_score_std,true_label,0,0.0014175819444724104,0.00023739819128502297,220
burden_score_std,true_label,1,0.14270549801345986,0.011685889303460654,261
burden_score_std,true_label,2,0.14264071085592256,0.012533281196717202,274
burden_score_std,true_label,3,0.14287842439157972,0.011933186581304081,243
burden_score_std,pred_label_default,0,0.0017244734283014122,0.0045580946802788415,221
burden_score_std,pred_label_default,1,0.14234471675313887,0.011002533705972295,305
burden_score_std,pred_label_default,2,0.14291376736189915,0.012003249648613021,277
burden_score_std,pred_label_default,3,0.14347514930443886,0.012587918671894027,195
coverage_z_center,true_label,0,0.47865610136227177,0.040178672572482546,220
coverage_z_center,true_label,1,0.5066220437201504,0.01586186140592141,261
coverage_z_center,true_label,2,0.5072431069438474,0.010206002681447099,274
coverage_z_center,true_label,3,0.5108109325047874,0.011490458130369051,243
coverage_z_center,pred_label_default,0,0.47777014350459585,0.04218653552975215,221
coverage_z_center,pred_label_default,1,0.5069636881351471,0.008474561385372118,305
coverage_z_center,pred_label_default,2,0.5076095811511635,0.00934715782652936,277
coverage_z_center,pred_label_default,3,0.5119250412170704,0.012130848137145395,195
coverage_z_spread,true_label,0,0.3200603340159763,0.016264648351271012,220
coverage_z_spread,true_label,1,0.30531109161532244,0.008738148612414315,261
coverage_z_spread,true_label,2,0.30567796245543627,0.003095384254912357,274
coverage_z_spread,true_label,3,0.3056787821491069,0.0029954094155767,243
coverage_z_spread,pred_label_default,0,0.31937774752869325,0.019127078362515454,221
coverage_z_spread,pred_label_default,1,0.3058058397691758,0.0026618887986994185,305
coverage_z_spread,pred_label_default,2,0.30585092220065396,0.002591344768900858,277
coverage_z_spread,pred_label_default,3,0.3054420789082845,0.0032818757742364723,195
coverage_active_bins_soft,true_label,0,0.4335300598632206,0.006881149425547881,220
coverage_active_bins_soft,true_label,1,0.5137488235687387,0.01151794780235931,261
coverage_active_bins_soft,true_label,2,0.5143233805242247,0.003141849388250031,274
coverage_active_bins_soft,true_label,3,0.5174019822367916,0.0045610327486376055,243
coverage_active_bins_soft,pred_label_default,0,0.4330890383655669,0.009482929639391907,221
coverage_active_bins_soft,pred_label_default,1,0.5138107135647633,0.0026520587327456767,305
coverage_active_bins_soft,pred_label_default,2,0.5146867505910164,0.002911603871660809,277
coverage_active_bins_soft,pred_label_default,3,0.518590610455244,0.004980426136924006,195
coverage_instance_score_mean,true_label,0,0.23518416346474127,0.0004280051381225604,220
coverage_instance_score_mean,true_label,1,0.5624625358545003,0.014478369354724732,261
coverage_instance_score_mean,true_label,2,0.5621632983649734,0.013967412242383443,274
coverage_instance_score_mean,true_label,3,0.5757032691696544,0.0199538033931974,243
coverage_instance_score_mean,pred_label_default,0,0.23650945372441234,0.01966186917398421,221
coverage_instance_score_mean,pred_label_default,1,0.5599836539049617,0.012045689691017974,305
coverage_instance_score_mean,pred_label_default,2,0.5637920100766399,0.012781308149199646,277
coverage_instance_score_mean,pred_label_default,3,0.5807071050008138,0.021433586644860208,195
