split,label,support,precision,recall,f1
train,0,220,0.995475113122172,1.0,0.9977324263038548
train,1,261,0.5967213114754099,0.6973180076628352,0.6431095406360424
train,2,274,0.5270758122743683,0.5328467153284672,0.52994555353902
train,3,243,0.8615384615384616,0.691358024691358,0.7671232876712328
