split,threshold,binary_target,pos,neg,auc,balanced_accuracy_at_0.5,sensitivity,specificity,f1
train,0,y>0,778,220,1.0,0.9993573264781491,0.9987146529562982,1.0,0.9993569131832798
train,1,y>1,517,481,0.8943287879458092,0.7999634063463851,0.7620889748549323,0.8378378378378378,0.7967644084934277
train,2,y>2,243,755,0.9471833864769847,0.8277982176436922,0.691358024691358,0.9642384105960264,0.7671232876712328
