split,true_label,column,n,mean,std,min,q1,median,q3,max
all,0,spacing_x,220,0.6640181107954546,0.06318660368675288,0.427734375,0.623046875,0.6611328125,0.712890625,0.896484375
all,0,spacing_y,220,0.6640181107954546,0.06318660368675288,0.427734375,0.623046875,0.6611328125,0.712890625,0.896484375
all,0,spacing_z,220,0.9976538962938569,0.04546516141805802,0.3255814015865326,1.0,1.0,1.0,1.0101351737976074
all,0,slice_thickness,220,1.0,0.0,1.0,1.0,1.0,1.0,1.0
all,1,spacing_x,261,0.6706239375574835,0.04210012631832644,0.5210000276565552,0.6650000214576721,0.6650000214576721,0.6855469942092896,1.0
all,1,spacing_y,261,0.6706239375574835,0.04210012631832644,0.5210000276565552,0.6650000214576721,0.6650000214576721,0.6855469942092896,1.0
all,1,spacing_z,261,1.0,0.0,1.0,1.0,1.0,1.0,1.0
all,1,slice_thickness,261,0.9961685823754789,0.061779752860525276,0.0,1.0,1.0,1.0,1.0
all,2,spacing_x,274,0.671119883330199,0.03570605893126138,0.5550000071525574,0.6650000214576721,0.6650000214576721,0.6881367564201355,0.7820000052452087
all,2,spacing_y,274,0.671119883330199,0.03570605893126138,0.5550000071525574,0.6650000214576721,0.6650000214576721,0.6881367564201355,0.7820000052452087
all,2,spacing_z,274,1.0,0.0,1.0,1.0,1.0,1.0,1.0
all,2,slice_thickness,274,1.0,0.0,1.0,1.0,1.0,1.0,1.0
all,3,spacing_x,243,0.6675981366585312,0.03919149906656597,0.5644530057907104,0.6620545089244843,0.6650000214576721,0.6830000281333923,0.8240000009536743
all,3,spacing_y,243,0.6675981366585312,0.03919149906656597,0.5644530057907104,0.6620545089244843,0.6650000214576721,0.6830000281333923,0.8240000009536743
all,3,spacing_z,243,1.0,0.0,1.0,1.0,1.0,1.0,1.0
all,3,slice_thickness,243,1.0,0.0,1.0,1.0,1.0,1.0,1.0
train,0,spacing_x,220,0.6640181107954546,0.06318660368675288,0.427734375,0.623046875,0.6611328125,0.712890625,0.896484375
train,0,spacing_y,220,0.6640181107954546,0.06318660368675288,0.427734375,0.623046875,0.6611328125,0.712890625,0.896484375
train,0,spacing_z,220,0.9976538962938569,0.04546516141805802,0.3255814015865326,1.0,1.0,1.0,1.0101351737976074
train,0,slice_thickness,220,1.0,0.0,1.0,1.0,1.0,1.0,1.0
train,1,spacing_x,261,0.6706239375574835,0.04210012631832644,0.5210000276565552,0.6650000214576721,0.6650000214576721,0.6855469942092896,1.0
train,1,spacing_y,261,0.6706239375574835,0.04210012631832644,0.5210000276565552,0.6650000214576721,0.6650000214576721,0.6855469942092896,1.0
train,1,spacing_z,261,1.0,0.0,1.0,1.0,1.0,1.0,1.0
train,1,slice_thickness,261,0.9961685823754789,0.061779752860525276,0.0,1.0,1.0,1.0,1.0
train,2,spacing_x,274,0.671119883330199,0.03570605893126138,0.5550000071525574,0.6650000214576721,0.6650000214576721,0.6881367564201355,0.7820000052452087
train,2,spacing_y,274,0.671119883330199,0.03570605893126138,0.5550000071525574,0.6650000214576721,0.6650000214576721,0.6881367564201355,0.7820000052452087
train,2,spacing_z,274,1.0,0.0,1.0,1.0,1.0,1.0,1.0
train,2,slice_thickness,274,1.0,0.0,1.0,1.0,1.0,1.0,1.0
train,3,spacing_x,243,0.6675981366585312,0.03919149906656597,0.5644530057907104,0.6620545089244843,0.6650000214576721,0.6830000281333923,0.8240000009536743
train,3,spacing_y,243,0.6675981366585312,0.03919149906656597,0.5644530057907104,0.6620545089244843,0.6650000214576721,0.6830000281333923,0.8240000009536743
train,3,spacing_z,243,1.0,0.0,1.0,1.0,1.0,1.0,1.0
train,3,slice_thickness,243,1.0,0.0,1.0,1.0,1.0,1.0,1.0
