feature,target,pearson,spearman
burden_soft_ratio,true_label,0.7730622406803678,0.6676133725943
burden_soft_ratio,pred_label_default,0.7693257641950615,0.7249222012259672
burden_soft_ratio,abs_error_default,0.31064879901438597,0.17957177577544586
burden_score_mean,true_label,0.7729601371126599,0.6666866936546083
burden_score_mean,pred_label_default,0.7692124674028568,0.7239835779767366
burden_score_mean,abs_error_default,0.3106933116329334,0.17953465582921
burden_topk_mean,true_label,0.7547490662624856,0.5478913596897497
burden_topk_mean,pred_label_default,0.7429542925248918,0.5971040659521732
burden_topk_mean,abs_error_default,0.31834235412815404,0.22317145743050038
burden_score_std,true_label,0.7440999026779666,0.5313097035391933
burden_score_std,pred_label_default,0.7347750674713207,0.5548619256838215
burden_score_std,abs_error_default,0.31864039038487596,0.24504053614115456
coverage_z_center,true_label,0.40512489876048446,0.4036031905232534
coverage_z_center,pred_label_default,0.4184759533511796,0.43355318487487565
coverage_z_center,abs_error_default,0.13313886411319256,0.13468528110376174
coverage_z_spread,true_label,-0.40809959835323595,-0.3913755614202877
coverage_z_spread,pred_label_default,-0.39209142425178034,-0.3997409264417177
coverage_z_spread,abs_error_default,-0.19854518598341775,-0.21323753044745375
coverage_active_bins_soft,true_label,0.7624799481579771,0.6693587126129509
coverage_active_bins_soft,pred_label_default,0.7627878237719217,0.7278284401364256
coverage_active_bins_soft,abs_error_default,0.30072694556432733,0.18108700313503412
coverage_instance_score_mean,true_label,0.7729601371126599,0.6666866936546083
coverage_instance_score_mean,pred_label_default,0.7692124674028568,0.7239835779767366
coverage_instance_score_mean,abs_error_default,0.3106933116329334,0.17953465582921
