split,true_class,n,mean_P_y_gt_0,std_P_y_gt_0,mean_P_y_gt_1,std_P_y_gt_1,mean_P_y_gt_2,std_P_y_gt_2
train,0,220,9.135689362499926e-06,1.0283270096696712e-07,2.13936883503927e-06,4.0176848633252447e-08,1.8289657284433567e-06,4.118358577476625e-08
train,1,261,0.9960395488254654,0.06176035598034602,0.3410023070897031,0.322799639769321,0.058453312152046605,0.19290322147530106
train,2,274,0.9999304550842647,8.868401552942225e-05,0.5685054020561876,0.358730535720355,0.06796521433955398,0.17765381837800312
train,3,243,0.9999656017425129,3.68735575347075e-05,0.9197085357803867,0.15633241951565177,0.6563524765292098,0.38865888328446524
